CNPJ,cd_Ugestora,CNPJ BÁSICO_x,CNPJ BÁSICO_y,CNPJ ORDEM,CNPJ DV,IDENTIFICADOR MATRIZ/FILIAL,NOME FANTASIA,SITUAÇÃO CADASTRAL,DATA SITUAÇÃO CADASTRAL,MOTIVO SITUAÇÃO CADASTRAL,NOME DA CIDADE NO EXTERIOR,PAÍS,DATA DE INÍCIO ATIVIDADE,CNAE FISCAL PRINCIPAL,CNAE FISCAL SECUNDÁRIA,TIPO DE LOGRADOURO,LOGRADOURO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICÍPIO,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,DDD DO FAX,FAX,CORREIO ELETRÔNICO,SITUAÇÃO ESPECIAL,DATA DA SITUAÇÃO ESPECIAL,Código,Cidade
00431374000161,90201,00431374,00431374,0001,61,1.0,CAMARA MUNICIPAL DE SAO BENTO,2.0,19990227.0,0.0,,,19950110.0,8411600.0,,RUA,JOAQUIM RIBEIRO,SN,,CENTRO,58865000.0,PB,2179.0,,,,,,,,,,2179.0,SAO BENTO
00435934000156,101097,00435934,00435934,0001,56,1.0,CASA VEREADOR JOSE COSME DE OLIVEIRA,2.0,20051103.0,0.0,,,19950214.0,8411600.0,,PRACA,JOAO PESSOA,05,,CENTRO,58660000.0,PB,2055.0,,,,,,,,,,2055.0,JUAZEIRINHO
00435934000156,80001,00435934,00435934,0001,56,1.0,CASA VEREADOR JOSE COSME DE OLIVEIRA,2.0,20051103.0,0.0,,,19950214.0,8411600.0,,PRACA,JOAO PESSOA,05,,CENTRO,58660000.0,PB,2055.0,,,,,,,,,,2055.0,JUAZEIRINHO
00435939000189,101010,00435939,00435939,0001,89,1.0,CASA DE NAPOLEAO LAUREANO,2.0,20231107.0,0.0,,,19950214.0,8411600.0,,AVENIDA,AV CARLOS PESSOA,89,,CENTRO,58497970.0,PB,2241.0,83.0,33415760,,,,,,,,2241.0,UMBUZEIRO
00435939000189,101219,00435939,00435939,0001,89,1.0,CASA DE NAPOLEAO LAUREANO,2.0,20231107.0,0.0,,,19950214.0,8411600.0,,AVENIDA,AV CARLOS PESSOA,89,,CENTRO,58497970.0,PB,2241.0,83.0,33415760,,,,,,,,2241.0,UMBUZEIRO
00481487000171,100001,00481487,00481487,0001,71,1.0,CASA SEVERINO MARREIRO,2.0,19980728.0,0.0,,,19950315.0,8411600.0,,RUA,SENADOR RUY CARNEIRO,S/N,,CENTRO,58158000.0,PB,2209.0,,,,,,,,,,2209.0,SAO VICENTE DO SERIDO
00481487000171,101199,00481487,00481487,0001,71,1.0,CASA SEVERINO MARREIRO,2.0,19980728.0,0.0,,,19950315.0,8411600.0,,RUA,SENADOR RUY CARNEIRO,S/N,,CENTRO,58158000.0,PB,2209.0,,,,,,,,,,2209.0,SAO VICENTE DO SERIDO
00534567000148,601167,00534567,00534567,0001,48,1.0,IPESC,2.0,20090331.0,0.0,,,19950403.0,8430200.0,,RUA,PROFESSOR NESTOR ANTUNES,153,      TERREO,CENTRO,58824000.0,PB,2165.0,83.0,35361002,83.0,88785640.0,83.0,35361002,,,,2165.0,SANTA CRUZ
00534567000148,90101,00534567,00534567,0001,48,1.0,IPESC,2.0,20090331.0,0.0,,,19950403.0,8430200.0,,RUA,PROFESSOR NESTOR ANTUNES,153,      TERREO,CENTRO,58824000.0,PB,2165.0,83.0,35361002,83.0,88785640.0,83.0,35361002,,,,2165.0,SANTA CRUZ
00602213000193,301145,00602213,00602213,0001,93,1.0,IPMP,2.0,19980728.0,0.0,,,19950508.0,8411600.0,,RUA,MANOEL ALVINO DE MOURA,56,,CENTRO,58210000.0,PB,2135.0,,,,,,,,,,2135.0,PILOEZINHOS
00602213000193,90003,00602213,00602213,0001,93,1.0,IPMP,2.0,19980728.0,0.0,,,19950508.0,8411600.0,,RUA,MANOEL ALVINO DE MOURA,56,,CENTRO,58210000.0,PB,2135.0,,,,,,,,,,2135.0,PILOEZINHOS
00710819000142,101183,00710819,00710819,0001,42,1.0,CASA RAAIMUNDO GOMES PEREIRA,2.0,19980728.0,0.0,,,19950720.0,8411600.0,,RUA,JACOB FRANTZ,167,,CENTRO,58910000.0,PB,1913.0,,,,,,,,,,1913.0,SAO JOAO DO RIO DO PEIXE
00710819000142,90201,00710819,00710819,0001,42,1.0,CASA RAAIMUNDO GOMES PEREIRA,2.0,19980728.0,0.0,,,19950720.0,8411600.0,,RUA,JACOB FRANTZ,167,,CENTRO,58910000.0,PB,1913.0,,,,,,,,,,1913.0,SAO JOAO DO RIO DO PEIXE
00768082000119,10001,00768082,00768082,0001,19,1.0,IPEMAD,8.0,19990608.0,1.0,,,19950818.0,8430200.0,,RUA,MANUEL GUEDES,92,,CENTRO,58320000.0,PB,1911.0,,,,,,,,,,1911.0,ALHANDRA
00774433000102,101077,00774433,00774433,0001,02,1.0,CASA MANOEL DIAS NETOS,2.0,19980728.0,0.0,,,19950809.0,8411600.0,,AVENIDA,JOSE CELINO FILHO,162,,CENTRO,58763000.0,PB,2019.0,,,,,,,,,,2019.0,EMAS
00774433000102,70001,00774433,00774433,0001,02,1.0,CASA MANOEL DIAS NETOS,2.0,19980728.0,0.0,,,19950809.0,8411600.0,,AVENIDA,JOSE CELINO FILHO,162,,CENTRO,58763000.0,PB,2019.0,,,,,,,,,,2019.0,EMAS
00776126000152,60001,00776126,00776126,0001,52,1.0,POSTO DE SAUDE MUNICIPAL NO SITIO BARREIROS,2.0,19980728.0,0.0,,,19950728.0,8411600.0,,SITIO,BARREIROS,SN,,ZONA RURAL,58990000.0,PB,2007.0,,,,,,,,,,2007.0,CURRAL VELHO
00797970000160,50001,00797970,00797970,0001,60,1.0,UMMML,2.0,19980728.0,0.0,,,19950829.0,8411600.0,,RUA,INACIO F DE OLIVEIRA,SN,,CENTRO,58715000.0,PB,1985.0,,,,,,,,,,1985.0,CATINGUEIRA
00825156000101,101006,00825156,00825156,0001,01,1.0,HOSPITAL SANCHO LEITE,2.0,19980728.0,0.0,,,19950925.0,8610101.0,,RUA,DR JOSE DUARTE DANTAS,SN,,CENTRO,58735000.0,PB,2235.0,,,,,,,,,,2235.0,TEIXEIRA
00853469000173,301142,00853469,00853469,0001,73,1.0,IPSEP,2.0,19980728.0,0.0,,,19951013.0,9430800.0,"9493600,9499500",RUA,ANTONIO FIRMINO,348,ANEXO DENTRO DO CENTRO ADM,MONTE SANTO,58187000.0,PB,2129.0,83.0,98555934,83.0,33712499,83.0,33712499,IPSEPPICUI20@GMAIL.COM,,,2129.0,PICUI
00853469000173,90003,00853469,00853469,0001,73,1.0,IPSEP,2.0,19980728.0,0.0,,,19951013.0,9430800.0,"9493600,9499500",RUA,ANTONIO FIRMINO,348,ANEXO DENTRO DO CENTRO ADM,MONTE SANTO,58187000.0,PB,2129.0,83.0,98555934,83.0,33712499,83.0,33712499,IPSEPPICUI20@GMAIL.COM,,,2129.0,PICUI
00898293000176,100001,00898293,00898293,0001,76,1.0,CASA PEDRO JORGE SILVA,2.0,19980728.0,0.0,,,19950529.0,8411600.0,,RUA,SAO JOSE,26,,CENTRO,58955000.0,PB,2215.0,,,,,,,,,,2215.0,SERRA GRANDE
00898293000176,101203,00898293,00898293,0001,76,1.0,CASA PEDRO JORGE SILVA,2.0,19980728.0,0.0,,,19950529.0,8411600.0,,RUA,SAO JOSE,26,,CENTRO,58955000.0,PB,2215.0,,,,,,,,,,2215.0,SERRA GRANDE
00909349000140,101074,00909349,00909349,0001,40,1.0,CASA FRANCISCO DE ASSIS VIEIRA DE LUCENA,2.0,19980728.0,0.0,,,19951113.0,8411600.0,,RUA,POSSIDONIO J DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,,,,,,,,,,2013.0,DIAMANTE
00909349000140,70001,00909349,00909349,0001,40,1.0,CASA FRANCISCO DE ASSIS VIEIRA DE LUCENA,2.0,19980728.0,0.0,,,19951113.0,8411600.0,,RUA,POSSIDONIO J DA COSTA,S/N,,CENTRO,58994000.0,PB,2013.0,,,,,,,,,,2013.0,DIAMANTE
00970131000100,101124,00970131,00970131,0001,00,1.0,CASA MANOEL JOSE DE ALMEIDA,2.0,20200220.0,0.0,,,19951214.0,8411600.0,,RUA,RUA FRANCISCO DE AQUINO,01,,CENTRO,58354000.0,PB,2097.0,83.0,32781000,,,,,,,,2097.0,MULUNGU
00970131000100,90002,00970131,00970131,0001,00,1.0,CASA MANOEL JOSE DE ALMEIDA,2.0,20200220.0,0.0,,,19951214.0,8411600.0,,RUA,RUA FRANCISCO DE AQUINO,01,,CENTRO,58354000.0,PB,2097.0,83.0,32781000,,,,,,,,2097.0,MULUNGU
00993632000101,101006,00993632,00993632,0001,01,1.0,FUPREV,2.0,19980728.0,0.0,,,19960103.0,8430200.0,,RUA,JOSE RAMALHO XAVIER,06,,CENTRO,58735000.0,PB,2235.0,,,,,,,,,,2235.0,TEIXEIRA
01072474000101,80001,01072474,01072474,0001,01,1.0,FUNJOPE,2.0,20040828.0,0.0,,,19951222.0,8412400.0,"5811500,5914600,8230001,8592903,9001902,9001999,9003500,9101500,9102301,9493600",PRACA,CORONEL ANTONIO PESSOA,09,,TAMBIA,58020520.0,PB,2051.0,83.0,32189811,83.0,32185551.0,83.0,32185502,DIREX.FUNJOPE@GMAIL.COM,,,2051.0,JOAO PESSOA
01367156000178,101071,01367156,01367156,0001,78,1.0,CASA VEREADOR JOSE PEREIRA DE LACERDA,2.0,19980117.0,0.0,,,19960809.0,8411600.0,,RUA,TENENTE IRINEU LACERDA,S/N,,CENTRO,58990000.0,PB,2007.0,,,,,,,,,,2007.0,CURRAL VELHO
01367156000178,60001,01367156,01367156,0001,78,1.0,CASA VEREADOR JOSE PEREIRA DE LACERDA,2.0,19980117.0,0.0,,,19960809.0,8411600.0,,RUA,TENENTE IRINEU LACERDA,S/N,,CENTRO,58990000.0,PB,2007.0,,,,,,,,,,2007.0,CURRAL VELHO
01518579000141,101015,01518579,01518579,0001,41,1.0,A UNIAO,3.0,20220520.0,21.0,,,19961031.0,1811301.0,"1811302,5811500,5812301,5813100,5821200,5822101,5823900",RUA,MARIA PRESOTTO PUCCI,SN,,DISTRITO INDUSTRIAL,58082010.0,PB,2051.0,83.0,32186500,83.0,32186514.0,,,AMANDAMLACERDA@HOTMAIL.COM,,,2051.0,JOAO PESSOA
01609777000110,101105,01609777,01609777,0001,10,1.0,CASA SEVERINO GERMANO FILHO,2.0,19980117.0,0.0,,,19961227.0,8411600.0,,RUA,SEVERINO JOSE FRANCISCO,S/N,,CENTRO,58690000.0,PB,2071.0,,,,,,,,,,2071.0,LIVRAMENTO
01609777000110,90001,01609777,01609777,0001,10,1.0,CASA SEVERINO GERMANO FILHO,2.0,19980117.0,0.0,,,19961227.0,8411600.0,,RUA,SEVERINO JOSE FRANCISCO,S/N,,CENTRO,58690000.0,PB,2071.0,,,,,,,,,,2071.0,LIVRAMENTO
01612304000172,201052,01612304,01612304,0001,72,1.0,GABINETE DO PREFEITO,2.0,20051007.0,0.0,,,19970101.0,8411600.0,,RUA,PRINCIPAL,S/N,,CENTRO,58287000.0,PB,464.0,83.0,2923000,,,,,,,,464.0,CAPIM
01612304000172,50001,01612304,01612304,0001,72,1.0,GABINETE DO PREFEITO,2.0,20051007.0,0.0,,,19970101.0,8411600.0,,RUA,PRINCIPAL,S/N,,CENTRO,58287000.0,PB,464.0,83.0,2923000,,,,,,,,464.0,CAPIM
01612304000253,50001,01612304,01612304,0002,53,2.0,SECRETARIA DE EDUCACAO E CULTURA,2.0,20051007.0,0.0,,,20010212.0,8411600.0,,RUA,PRINCIPAL,S/N,,CENTRO,58287000.0,PB,464.0,,,,,,,,,,464.0,CAPIM
01612341000180,201068,01612341,01612341,0001,80,1.0,GABINETE DO PREFEITO,2.0,20050521.0,0.0,,,19970101.0,8411600.0,,RUA,DA MATRIZ,S/N,,CENTRO,58289000.0,PB,474.0,83.0,2922618,,,,,,,,474.0,CUITE DE MAMANGUAPE
01612341000180,60001,01612341,01612341,0001,80,1.0,GABINETE DO PREFEITO,2.0,20050521.0,0.0,,,19970101.0,8411600.0,,RUA,DA MATRIZ,S/N,,CENTRO,58289000.0,PB,474.0,83.0,2922618,,,,,,,,474.0,CUITE DE MAMANGUAPE
01612343000170,201159,01612343,01612343,0001,70,1.0,GABINETE DO PREFEITO,2.0,20041126.0,0.0,,,19970101.0,8411600.0,,RUA,SENADOR CABRAL,397,,CENTRO,58382000.0,PB,504.0,,,,,,,,,,504.0,RIACHAO DO BACAMARTE
01612343000170,90101,01612343,01612343,0001,70,1.0,GABINETE DO PREFEITO,2.0,20041126.0,0.0,,,19970101.0,8411600.0,,RUA,SENADOR CABRAL,397,,CENTRO,58382000.0,PB,504.0,,,,,,,,,,504.0,RIACHAO DO BACAMARTE
01612351000116,201112,01612351,01612351,0001,16,1.0,GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970101.0,8411600.0,,RUA,MANOEL BENEVONUTO DO PADRO,257,,CENTRO,58294000.0,PB,484.0,83.0,36251111,83.0,91808105.0,83.0,36251111,,,,484.0,MARCACAO
01612351000116,90001,01612351,01612351,0001,16,1.0,GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970101.0,8411600.0,,RUA,MANOEL BENEVONUTO DO PADRO,257,,CENTRO,58294000.0,PB,484.0,83.0,36251111,83.0,91808105.0,83.0,36251111,,,,484.0,MARCACAO
01612351000205,90001,01612351,01612351,0002,05,2.0,SECRETARIA DE EDUCACAO E CULTURA,2.0,20051028.0,0.0,,,19970101.0,8411600.0,,TRAVESSA,PRINCIPAL,S/N,,CENTRO,58294000.0,PB,484.0,,,,,,,,,,484.0,MARCACAO
01612366000184,201160,01612366,01612366,0001,84,1.0,GABINETE DO PREFEITO,2.0,20030927.0,0.0,,,19970102.0,8411600.0,,RUA,JOAO FERREIRA ALVES,S/N,,CENTRO,58348000.0,PB,506.0,,,,,,,,,,506.0,RIACHAO DO POCO
01612366000184,90101,01612366,01612366,0001,84,1.0,GABINETE DO PREFEITO,2.0,20030927.0,0.0,,,19970102.0,8411600.0,,RUA,JOAO FERREIRA ALVES,S/N,,CENTRO,58348000.0,PB,506.0,,,,,,,,,,506.0,RIACHAO DO POCO
01612372000131,201070,01612372,01612372,0001,31,1.0,GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970101.0,8411600.0,,RUA,PRINCIPAL,S/N,,CENTRO,58291000.0,PB,476.0,,,,,,,,,,476.0,CURRAL DE CIMA
01612372000131,60001,01612372,01612372,0001,31,1.0,GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970101.0,8411600.0,,RUA,PRINCIPAL,S/N,,CENTRO,58291000.0,PB,476.0,,,,,,,,,,476.0,CURRAL DE CIMA
01612372000212,60001,01612372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01612384000166,100001,01612384,01612384,0001,66,1.0,PREF.MUNICIP. DE SAO JOSE DOS RAMOS - PMSJR,2.0,20051103.0,0.0,,,19970101.0,8411600.0,,PRAÇA,NOE RODRIGUES DE LIMA,SN,,CENTRO,58339000.0,PB,526.0,83.0,36821086,83.0,36821084.0,83.0,36821086,prefmunsjramos@yahoo.com.br,,,526.0,SAO JOSE DOS RAMOS
01612384000166,201194,01612384,01612384,0001,66,1.0,PREF.MUNICIP. DE SAO JOSE DOS RAMOS - PMSJR,2.0,20051103.0,0.0,,,19970101.0,8411600.0,,PRAÇA,NOE RODRIGUES DE LIMA,SN,,CENTRO,58339000.0,PB,526.0,83.0,36821086,83.0,36821084.0,83.0,36821086,prefmunsjramos@yahoo.com.br,,,526.0,SAO JOSE DOS RAMOS
01612470000179,10001,01612470,01612470,0001,79,1.0,ALCANTIL GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,SAO JOSE,S/N,,CENTRO,58460000.0,PB,440.0,83.0,3911530,,,,,,,,440.0,ALCANTIL
01612470000179,201006,01612470,01612470,0001,79,1.0,ALCANTIL GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,SAO JOSE,S/N,,CENTRO,58460000.0,PB,440.0,83.0,3911530,,,,,,,,440.0,ALCANTIL
01612471000113,10001,01612471,01612471,0001,13,1.0,ALGODAO DE JANDAIRA GABINETE DO PREFEITO,2.0,20231110.0,0.0,,,19970102.0,8411600.0,,RUA,FRANCISCO BRAGA,S/N,,CENTRO,58399000.0,PB,442.0,83.0,3491010,,,,,,,,442.0,ALGODAO DE JANDAIRA
01612471000113,201007,01612471,01612471,0001,13,1.0,ALGODAO DE JANDAIRA GABINETE DO PREFEITO,2.0,20231110.0,0.0,,,19970102.0,8411600.0,,RUA,FRANCISCO BRAGA,S/N,,CENTRO,58399000.0,PB,442.0,83.0,3491010,,,,,,,,442.0,ALGODAO DE JANDAIRA
01612473000102,10001,01612473,01612473,0001,02,1.0,AMPARO GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,VEREADOR CICERO SOARES,S/N,,CENTRO,58548000.0,PB,444.0,,,,,,,,,,444.0,AMPARO
01612473000102,201009,01612473,01612473,0001,02,1.0,AMPARO GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,VEREADOR CICERO SOARES,S/N,,CENTRO,58548000.0,PB,444.0,,,,,,,,,,444.0,AMPARO
01612511000127,201176,01612511,01612511,0001,27,1.0,SANTO ANDRE GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970102.0,8411600.0,,RUA,FENELON MEDEIROS,S/N,,CENTRO,58675000.0,PB,516.0,83.0,3821265,,,,,,,,516.0,SANTO ANDRE
01612511000127,90201,01612511,01612511,0001,27,1.0,SANTO ANDRE GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970102.0,8411600.0,,RUA,FENELON MEDEIROS,S/N,,CENTRO,58675000.0,PB,516.0,83.0,3821265,,,,,,,,516.0,SANTO ANDRE
01612512000171,20001,01612512,01612512,0001,71,1.0,BARAUNA GABINETE DO PREFEITO,2.0,20050924.0,0.0,,,19970102.0,8411600.0,,RUA,GETULIO VARGAS,147,,CENTRO,58188000.0,PB,452.0,83.0,3491124,,,,,,,,452.0,BARAUNA
01612512000171,201021,01612512,01612512,0001,71,1.0,BARAUNA GABINETE DO PREFEITO,2.0,20050924.0,0.0,,,19970102.0,8411600.0,,RUA,GETULIO VARGAS,147,,CENTRO,58188000.0,PB,452.0,83.0,3491124,,,,,,,,452.0,BARAUNA
01612532000142,201133,01612532,01612532,0001,42,1.0,PARARI GABINETE DO PREFEITO,2.0,20020810.0,0.0,,,19970102.0,8411600.0,,RUA,TERTULINO AIRES DE QUEIROZ,S/N,,CENTRO,58575000.0,PB,494.0,83.0,3542462,,,,,,,,494.0,PARARI
01612532000142,90002,01612532,01612532,0001,42,1.0,PARARI GABINETE DO PREFEITO,2.0,20020810.0,0.0,,,19970102.0,8411600.0,,RUA,TERTULINO AIRES DE QUEIROZ,S/N,,CENTRO,58575000.0,PB,494.0,83.0,3542462,,,,,,,,494.0,PARARI
01612532000223,90002,01612532,01612532,0002,23,2.0,FUNDO MUNICIPAL DE SAUDE DE PARARI,8.0,19970314.0,1.0,,,19970314.0,8660700.0,8411600,RUA,TERTULINO AIRES DE QUEIROZ,S/N,,CENTRO,58575000.0,PB,494.0,83.0,32242667.0,83.0,36451023.0,83.0,36451023.0,maria_aparecida_jp@hotmail.com,,,494.0,PARARI
01612535000186,20001,01612535,01612535,0001,86,1.0,BARRA DE SANTANA GABINETE DO PREFEITO,2.0,20050930.0,0.0,,,19970102.0,8411600.0,,AVENIDA,LIBERDADE,S/N,,CENTRO,58458000.0,PB,454.0,83.0,3911560,,,,,,,,454.0,BARRA DE SANTANA
01612535000186,201023,01612535,01612535,0001,86,1.0,BARRA DE SANTANA GABINETE DO PREFEITO,2.0,20050930.0,0.0,,,19970102.0,8411600.0,,AVENIDA,LIBERDADE,S/N,,CENTRO,58458000.0,PB,454.0,83.0,3911560,,,,,,,,454.0,BARRA DE SANTANA
01612538000110,20001,01612538,01612538,0001,10,1.0,BOA VISTA GABINETE DO PREFEITO,2.0,20040911.0,0.0,,,19970102.0,8411600.0,,ESPLANADA,BOM JESUS,S/N,,CENTRO,58123000.0,PB,458.0,83.0,3131116,,,,,,,,458.0,BOA VISTA
01612538000110,201030,01612538,01612538,0001,10,1.0,BOA VISTA GABINETE DO PREFEITO,2.0,20040911.0,0.0,,,19970102.0,8411600.0,,ESPLANADA,BOM JESUS,S/N,,CENTRO,58123000.0,PB,458.0,83.0,3131116,,,,,,,,458.0,BOA VISTA
01612553000168,100001,01612553,01612553,0001,68,1.0,GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,MANOEL DE SALES,178,,CENTRO,58342000.0,PB,534.0,,,,,,,,,,534.0,SOBRADO
01612553000168,201207,01612553,01612553,0001,68,1.0,GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,MANOEL DE SALES,178,,CENTRO,58342000.0,PB,534.0,,,,,,,,,,534.0,SOBRADO
01612554000102,100001,01612554,01612554,0001,02,1.0,PRESIDENCIA DA CAMARA,2.0,19980117.0,0.0,,,19970102.0,8411600.0,,RUA,MANOEL DE SALES,S/N,,CENTRO,58342000.0,PB,534.0,,,,,,,,,,534.0,SOBRADO
01612554000102,101207,01612554,01612554,0001,02,1.0,PRESIDENCIA DA CAMARA,2.0,19980117.0,0.0,,,19970102.0,8411600.0,,RUA,MANOEL DE SALES,S/N,,CENTRO,58342000.0,PB,534.0,,,,,,,,,,534.0,SOBRADO
01612635000102,10001,01612635,01612635,0001,02,1.0,ASSUNCAO GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970102.0,8411600.0,,RUA,DO COMERCIO,S/N,,CENTRO,58685000.0,PB,450.0,83.0,4632316,,,,,,,,450.0,ASSUNCAO
01612635000102,201018,01612635,01612635,0001,02,1.0,ASSUNCAO GABINETE DO PREFEITO,2.0,20051028.0,0.0,,,19970102.0,8411600.0,,RUA,DO COMERCIO,S/N,,CENTRO,58685000.0,PB,450.0,83.0,4632316,,,,,,,,450.0,ASSUNCAO
01612636000157,201072,01612636,01612636,0001,57,1.0,DAMIAO GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,JUVINIANO GOMES DE LIMA,08,,CENTRO,58173000.0,PB,478.0,83.0,36351013,,,,,prefdamiao@bol.com.br,,,478.0,DAMIAO
01612636000157,60001,01612636,01612636,0001,57,1.0,DAMIAO GABINETE DO PREFEITO,2.0,20051103.0,0.0,,,19970102.0,8411600.0,,RUA,JUVINIANO GOMES DE LIMA,08,,CENTRO,58173000.0,PB,478.0,83.0,36351013,,,,,prefdamiao@bol.com.br,,,478.0,DAMIAO
01612637000100,201161,01612637,01612637,0001,00,1.0,RIACHO DE SANTO ANTONIO GABINETE DO PREFEITO,2.0,20231110.0,0.0,,,19970102.0,8411600.0,,RUA,EPITACIO LEAL CAPIBARIBE,16,,BAIRRO TOTA CAPIBARIBE,58465000.0,PB,508.0,83.0,33415760,,,,,RIACHODESANTOANTONIO.FAZENDA@HOTMAIL.COM,,,508.0,RIACHO DE SANTO ANTONIO
01612637000100,90101,01612637,01612637,0001,00,1.0,RIACHO DE SANTO ANTONIO GABINETE DO PREFEITO,2.0,20231110.0,0.0,,,19970102.0,8411600.0,,RUA,EPITACIO LEAL CAPIBARIBE,16,,BAIRRO TOTA CAPIBARIBE,58465000.0,PB,508.0,83.0,33415760,,,,,RIACHODESANTOANTONIO.FAZENDA@HOTMAIL.COM,,,508.0,RIACHO DE SANTO ANTONIO
